study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_md5	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB3366	SAMEA1573446	ERS185362	ERX163159	ERR188021	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	fd54ea6d9086b21ecfc433092a674430;66686838668c17b86e55d6eb35c5e4e6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188021/ERR188021_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20508.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20508.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20508.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20508.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188021	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188021		
PRJEB3366	SAMEA1573207	ERS185103	ERX162912	ERR188022	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	9fabad7e2b8d6c7b441ff9fcccbf639c;c91d541f18c6b30bf97f927dec1dc08c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188022/ERR188022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12812.1.M_111124_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12812.1.M_111124_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12812.1.M_111124_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12812.1.M_111124_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188022	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188022		
PRJEB3366	SAMEA1573500	ERS185236	ERX162777	ERR188023	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	5ddc0d1424dfd3f5a166345c3241406f;27fd0b22353239dfcfdc937578c9c18f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188023/ERR188023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188023/ERR188023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188023/ERR188023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188023/ERR188023_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00315.2.M_111215_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00315.2.M_111215_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00315.2.M_111215_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00315.2.M_111215_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188023	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188023		
PRJEB3366	SAMEA1573203	ERS185432	ERX162876	ERR188024	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	aeaa1770aa431030d37e68a7e5292bc2;0fb2ce6c6f2dc59835be57fa5f941888	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188024/ERR188024_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12749.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12749.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12749.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA12749.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188024	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188024		
PRJEB3366	SAMEA1573346	ERS185451	ERX163121	ERR188025	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	5dc2ac637998662013144f65fbd88c7c;2422ede287dc956a802edaceaf4cdf07	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188025/ERR188025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188025/ERR188025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188025/ERR188025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188025/ERR188025_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00377.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00377.2.M_120131_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00377.2.M_120131_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00377.2.M_120131_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188025	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188025		
PRJEB3366	SAMEA1573212	ERS185219	ERX162823	ERR188026	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	5fd42c5e9889ac6f30259c04848c8ffb;2f03cfb4d272170d0d6451523e37569c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188026/ERR188026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188026/ERR188026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188026/ERR188026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188026/ERR188026_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20510.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20510.3.M_120202_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20510.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA20510.3.M_120202_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188026	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188026		
PRJEB3366	SAMEA1573516	ERS185031	ERX162976	ERR188027	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	963996a56c4c133ce5001e720f45bba6;d847fbd5ed441a15095cd157b213ec75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188027/ERR188027_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA07056.1.M_111124_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA07056.1.M_111124_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA07056.1.M_111124_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA07056.1.M_111124_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188027	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188027		
PRJEB3366	SAMEA1573404	ERS185215	ERX163149	ERR188028	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	7249d82aac60ab6e3b923cd5cefc12a6;6d2062e05321e3935b3deb9982a98495	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00155.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00155.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00155.1.M_111124_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00155.1.M_111124_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188028	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188028		
PRJEB3366	SAMEA1573527	ERS185329	ERX162809	ERR188029	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	222f10a7aee0391075a8602ee55dc33d;b4da7a93d7228dede903f3e95cf67198	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188029/ERR188029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188029/ERR188029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188029/ERR188029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188029/ERR188029_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00355.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00355.2.M_111215_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00355.2.M_111215_6_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/HG00355.2.M_111215_6_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188029	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188029		
PRJEB3366	SAMEA1573339	ERS185063	ERX162997	ERR188030	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	a11e508b94baa4f820f6f19ebfbbeb2c;d41f66c3faf9af02149b4aaf4d990532	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188030/ERR188030_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19119.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19119.3.M_120202_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19119.3.M_120202_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA169/ERA169774/fastq/NA19119.3.M_120202_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188030	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188030		
